image,mask
jp22_1.1.tif,jp22_1.1.png
jp22_1.2.tif,jp22_1.2.png
jp22_1.4.tif,jp22_1.4.png
jp22_1.5.tif,jp22_1.5.png
jp22_1.6.tif,jp22_1.6.png
jp22_1.8.tif,jp22_1.8.png
jp22_1.9.tif,jp22_1.9.png
jp22_2.10.tif,jp22_2.10.png
jp22_2.3.tif,jp22_2.3.png
jp22_2.4.tif,jp22_2.4.png
jp22_2.6.tif,jp22_2.6.png
jp22_2.7.tif,jp22_2.7.png
jp22_2.9.tif,jp22_2.9.png
jp22_3.0.tif,jp22_3.0.png
jp22_3.1.tif,jp22_3.1.png
jp22_3.2.tif,jp22_3.2.png
jp22_3.4.tif,jp22_3.4.png
jp22_3.5.tif,jp22_3.5.png
jp22_3.6.tif,jp22_3.6.png
jp22_3.9.tif,jp22_3.9.png
jp22_4.0.tif,jp22_4.0.png
jp22_4.1.tif,jp22_4.1.png
jp22_4.3.tif,jp22_4.3.png
jp22_4.4.tif,jp22_4.4.png
tile_1.0.tif,tile_1.0.png
tile_1.1.tif,tile_1.1.png
tile_1.10.tif,tile_1.10.png
tile_1.11.tif,tile_1.11.png
tile_1.12.tif,tile_1.12.png
tile_1.14.tif,tile_1.14.png
tile_1.15.tif,tile_1.15.png
tile_1.18.tif,tile_1.18.png
tile_1.19.tif,tile_1.19.png
tile_1.2.tif,tile_1.2.png
tile_1.20.tif,tile_1.20.png
tile_1.21.tif,tile_1.21.png
tile_1.22.tif,tile_1.22.png
tile_1.24.tif,tile_1.24.png
tile_1.26.tif,tile_1.26.png
tile_1.27.tif,tile_1.27.png
tile_1.28.tif,tile_1.28.png
tile_1.29.tif,tile_1.29.png
tile_1.3.tif,tile_1.3.png
tile_1.4.tif,tile_1.4.png
tile_1.5.tif,tile_1.5.png
tile_1.6.tif,tile_1.6.png
tile_1.7.tif,tile_1.7.png
tile_1.8.tif,tile_1.8.png
tile_1.80.tif,tile_1.80.png
tile_1.88.tif,tile_1.88.png
tile_1.9.tif,tile_1.9.png
tile_3.17.tif,tile_3.17.png
tile_3.18.tif,tile_3.18.png
tile_3.19.tif,tile_3.19.png
tile_3.22.tif,tile_3.22.png
tile_3.23.tif,tile_3.23.png
tile_3.25.tif,tile_3.25.png
tile_3.28.tif,tile_3.28.png
tile_3.34.tif,tile_3.34.png
tile_3.35.tif,tile_3.35.png
tile_3.39.tif,tile_3.39.png
tile_3.7.tif,tile_3.7.png
tile_4.16.tif,tile_4.16.png
tile_4.17.tif,tile_4.17.png
tile_4.18.tif,tile_4.18.png
tile_4.26.tif,tile_4.26.png
tile_4.27.tif,tile_4.27.png
tile_4.28.tif,tile_4.28.png
tile_4.34.tif,tile_4.34.png
tile_4.35.tif,tile_4.35.png
tile_4.49.tif,tile_4.49.png
tile_5.15.tif,tile_5.15.png
tile_5.17.tif,tile_5.17.png
tile_5.18.tif,tile_5.18.png
tile_5.19.tif,tile_5.19.png
tile_5.24.tif,tile_5.24.png
tile_5.26.tif,tile_5.26.png
tile_5.27.tif,tile_5.27.png
tile_5.5.tif,tile_5.5.png
tile_5.6.tif,tile_5.6.png
tile_6.1.tif,tile_6.1.png
tile_6.10.tif,tile_6.10.png
tile_6.19.tif,tile_6.19.png
tile_6.2.tif,tile_6.2.png
tile_6.4.tif,tile_6.4.png
tile_6.5.tif,tile_6.5.png
tile_6.7.tif,tile_6.7.png
tile_6.9.tif,tile_6.9.png
